id_str	from_user	text	created_at	Relevante? (S/N) Anotador 1	Relevante? (S/N) Anotador 2	Relevante? (S/N) Final	Concorda
859611283297103872	emilyfdearaujo	#MasterChefBR VAI YUKO	Wed May 03 03:31:15 +0000 2017	N	N	N	1
859611295670251527	Dom_Rezende33	Acho que Caroline vaza #MasterChefBR	Wed May 03 03:31:18 +0000 2017	S	S	S	1
859611337793654784	JuceiaLS	Eu não gosto dessa Carol, tenta ser legal e engraçada, mas é irritante. #MasterChefBR	Wed May 03 03:31:28 +0000 2017	S	S	S	1
859611340553498625	leikastro	#MasterChefBR comida de prisão, eu já teria me retirado da cozinha	Wed May 03 03:31:29 +0000 2017	S	S	S	1
859611341132312576	Resenha_TV	Certeza que quem vai rodar é a Caroline! Impossível algo pior! #MasterChefBR	Wed May 03 03:31:29 +0000 2017	S	S	S	1
859611347893530624	masterchefbr	Quando a gente encontra um bebezinho fofinho ai ti coisinha maisi linda! #MasterChefBR https://t.co/4zjeVKwpCK	Wed May 03 03:31:30 +0000 2017	N	N	N	1
859611364087791616	avadakedavrals	MIRIAM VAI SE LASCAR #MasterChefBR	Wed May 03 03:31:34 +0000 2017	N	N	N	1
859611381523460097	jwstimberlake	YUKO EU TE AMO AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA QUERO GUARDAR NUM POTINHO #MasterChefBR	Wed May 03 03:31:38 +0000 2017	N	S	S	0
859611412812808193	Danzits	RT @JuninhoClemente: Ai meodeos yuko #MasterChefBR	Wed May 03 03:31:46 +0000 2017	N	N	N	1
859611412993277954	ZAMENZA	Yoku dá vontade de apertar! #MasterChefBR	Wed May 03 03:31:46 +0000 2017	N	N	N	1
859611454844145664	MussumAlive	A Caroline dá risada até quando tá toda lascada, melhor pessoa #MasterchefBR	Wed May 03 03:31:56 +0000 2017	N	S	S	0
859611470467932160	emilyfdearaujo	#MasterChefBR KKKKKKKKKKKKK SOCORRO	Wed May 03 03:32:00 +0000 2017	N	N	N	1
859611493653983232	Teledramaturgia	HAHAHAHAHAHAHA Youko #MasterChefBR	Wed May 03 03:32:05 +0000 2017	N	N	N	1
859611528366092290	samara7days	Yuko conquistando meu coração. #MasterChefBR	Wed May 03 03:32:13 +0000 2017	N	S	S	0
859611548544892932	ZAMENZA	O Jacquin AMA a Yoku. hahahahahahahahaha Compreensível. #MasterChefBR	Wed May 03 03:32:18 +0000 2017	N	S	S	0
859611565414371328	boudelaires	yuko e jacquin são um stand-up humano #MasterChefBR	Wed May 03 03:32:22 +0000 2017	S	S	S	1
859611574851575808	OpsEngordei	RT @LeoMaia_: Já vi a Red de @OITNB discutindo com @erickjacquin os conceitos de comida de prisão. #MasterChefBR https://t.co/HcB7uHh7rE	Wed May 03 03:32:24 +0000 2017	N	N	N	1
859611575665209344	leoyoungchef	Risadinha entrou em ação #MasterChefBr 😂	Wed May 03 03:32:25 +0000 2017	N	N	N	1
859611580354449411	emilyfdearaujo	#MasterChefBR SOCORRO EU AMO A YUKO	Wed May 03 03:32:26 +0000 2017	N	S	S	0
859611597710528512	jwstimberlake	RT @gustavonever: nao aceito q o prato da mirian ta melhor que o do fabricio jurados comam de novo vcs tao comendo errado #MasterChefBR	Wed May 03 03:32:30 +0000 2017	N	S	S	0
859611608569532420	emilyfdearaujo	RT @alternatescene: Ratatua Kkkk @MChefYuko linda demais &lt;3 #MasterChefBR	Wed May 03 03:32:32 +0000 2017	N	N	N	1
859611668862644225	boudelaires	quando a yuko fala #MasterChefBR https://t.co/7Jcwil9XXM	Wed May 03 03:32:47 +0000 2017	N	N	N	1
859611676521488384	Teledramaturgia	O peixe descansa melhor no cama eu ri #MasterChefBR	Wed May 03 03:32:49 +0000 2017	S	N	S	0
